,UNODC,unodc_ddds@un.org,REGION,SUB-REGION,INDICATOR,DIMENSION,CATEGORY,SEX,AGE,YEAR,COUNTS,CASE-VALUE,SOURCE
3868,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Unknown,Unknown,2020,Counts,25,GLOTIP
3869,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2021,Counts,134,GLOTIP
3870,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2021,Counts,"1,178",GLOTIP
3871,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2021,Counts,221,GLOTIP
3872,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,"2,116",GLOTIP
3873,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Other,0 to 17 years,2021,Counts,87,GLOTIP
3874,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Forced labour,Other,18 years or over,2021,Counts,932,GLOTIP
3876,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2021,Counts,231,GLOTIP
3877,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,129,GLOTIP
3878,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2021,Counts,"2,233",GLOTIP
3879,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2021,Counts,"3,904",GLOTIP
3880,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Other,0 to 17 years,2021,Counts,"1,965",GLOTIP
3881,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Other,18 years or over,2021,Counts,"3,658",GLOTIP
3882,USA,United States of America,Americas,Northern America,Detected trafficking victims,by form of exploitation,Sexual exploitation,Unknown,Unknown,2021,Counts,37,GLOTIP
3884,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,41,GLOTIP
3886,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,315,GLOTIP
3887,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,12,GLOTIP
3888,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,263,GLOTIP
3894,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,213,GLOTIP
3895,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,6,GLOTIP
3896,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,222,GLOTIP
3902,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,47,GLOTIP
3903,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,5,GLOTIP
3904,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,127,GLOTIP
3910,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,12,GLOTIP
3911,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,9,GLOTIP
3912,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,79,GLOTIP
3916,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2021,Counts,70,GLOTIP
3918,UZB,Uzbekistan,Asia,Central Asia,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2021,Counts,113,GLOTIP
3920,ZMB,Zambia,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2017,Counts,9,GLOTIP
3928,ZMB,Zambia,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2018,Counts,7,GLOTIP
3929,ZMB,Zambia,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,11,GLOTIP
3930,ZMB,Zambia,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2018,Counts,8,GLOTIP
3931,ZMB,Zambia,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,5,GLOTIP
3952,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2017,Counts,20,GLOTIP
3954,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2017,Counts,30,GLOTIP
3955,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2017,Counts,5,GLOTIP
3956,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2018,Counts,20,GLOTIP
3958,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2018,Counts,36,GLOTIP
3959,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,5,GLOTIP
3960,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2019,Counts,14,GLOTIP
3962,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2019,Counts,25,GLOTIP
3964,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2020,Counts,12,GLOTIP
3966,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2020,Counts,26,GLOTIP
3968,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2021,Counts,31,GLOTIP
3970,ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2021,Counts,51,GLOTIP
3984,ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2018,Counts,15,GLOTIP
3986,ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,15,GLOTIP
3992,ARE,United Arab Emirates,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2020,Counts,8,GLOTIP
4004,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2019,Counts,74,GLOTIP
4006,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2019,Counts,34,GLOTIP
4011,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2020,Counts,10,GLOTIP
4012,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2020,Counts,7,GLOTIP
4013,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2020,Counts,37,GLOTIP
4017,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2021,Counts,11,GLOTIP
4018,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2021,Counts,75,GLOTIP
4019,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2021,Counts,5,GLOTIP
4020,ARG,Argentina,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2021,Counts,36,GLOTIP
4032,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2017,Counts,17,GLOTIP
4033,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2017,Counts,14,GLOTIP
4035,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2017,Counts,7,GLOTIP
4036,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2018,Counts,22,GLOTIP
4037,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2018,Counts,26,GLOTIP
4039,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,12,GLOTIP
4040,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2019,Counts,22,GLOTIP
4041,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2019,Counts,44,GLOTIP
4043,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2019,Counts,20,GLOTIP
4044,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2020,Counts,17,GLOTIP
4045,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2020,Counts,43,GLOTIP
4046,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2020,Counts,6,GLOTIP
4047,AUS,Australia,Oceania,Australia and New Zealand,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2020,Counts,23,GLOTIP
4048,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2017,Counts,10,GLOTIP
4050,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2018,Counts,5,GLOTIP
4052,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2019,Counts,17,GLOTIP
4054,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2020,Counts,73,GLOTIP
4056,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2020,Counts,10,GLOTIP
4057,AUT,Austria,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2020,Counts,11,GLOTIP
4061,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2014,Counts,5,GLOTIP
4064,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2015,Counts,6,GLOTIP
4067,BEL,Belgium,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2016,Counts,8,GLOTIP
4084,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2014,Counts,60,GLOTIP
4086,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2014,Counts,5,GLOTIP
4088,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2015,Counts,64,GLOTIP
4092,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2016,Counts,84,GLOTIP
4096,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2017,Counts,110,GLOTIP
4098,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2017,Counts,5,GLOTIP
4100,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2018,Counts,67,GLOTIP
4102,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,7,GLOTIP
4104,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2020,Counts,42,GLOTIP
4106,BGR,Bulgaria,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2020,Counts,41,GLOTIP
4115,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2014,Counts,18,GLOTIP
4117,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2014,Counts,13,GLOTIP
4119,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2015,Counts,10,GLOTIP
4120,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2015,Counts,6,GLOTIP
4122,BIH,Bosnia and Herzegovina,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2015,Counts,5,GLOTIP
4174,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2014,Counts,10,GLOTIP
4175,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2014,Counts,13,GLOTIP
4176,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2014,Counts,18,GLOTIP
4177,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2014,Counts,21,GLOTIP
4178,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2015,Counts,30,GLOTIP
4179,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2015,Counts,18,GLOTIP
4180,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2015,Counts,16,GLOTIP
4181,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2015,Counts,23,GLOTIP
4182,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2016,Counts,37,GLOTIP
4183,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2016,Counts,23,GLOTIP
4184,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2016,Counts,34,GLOTIP
4185,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2016,Counts,25,GLOTIP
4187,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2017,Counts,9,GLOTIP
4189,BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2017,Counts,9,GLOTIP
4264,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2016,Counts,14,GLOTIP
4267,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2017,Counts,5,GLOTIP
4268,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2017,Counts,10,GLOTIP
4273,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2018,Counts,20,GLOTIP
4275,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,16,GLOTIP
4279,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2019,Counts,5,GLOTIP
4280,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2019,Counts,28,GLOTIP
4286,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2020,Counts,5,GLOTIP
4287,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2020,Counts,12,GLOTIP
4288,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2020,Counts,5,GLOTIP
4293,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2021,Counts,10,GLOTIP
4294,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2021,Counts,32,GLOTIP
4296,COL,Colombia,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2021,Counts,8,GLOTIP
4302,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2017,Counts,7,GLOTIP
4303,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2018,Counts,12,GLOTIP
4305,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2018,Counts,5,GLOTIP
4306,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,5,GLOTIP
4307,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2019,Counts,15,GLOTIP
4308,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2019,Counts,6,GLOTIP
4309,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2019,Counts,16,GLOTIP
4311,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2020,Counts,13,GLOTIP
4313,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2020,Counts,8,GLOTIP
4315,CRI,Costa Rica,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2021,Counts,5,GLOTIP
4319,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2014,Counts,7,GLOTIP
4323,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2015,Counts,7,GLOTIP
4327,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2016,Counts,18,GLOTIP
4334,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2018,Counts,6,GLOTIP
4338,CYP,Cyprus,Asia,Western Asia,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2019,Counts,8,GLOTIP
4346,CZE,Czechia,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2018,Counts,8,GLOTIP
4350,CZE,Czechia,Europe,Eastern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2019,Counts,7,GLOTIP
4361,DEU,Germany,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2018,Counts,5,GLOTIP
4363,DEU,Germany,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2018,Counts,5,GLOTIP
4366,DEU,Germany,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2019,Counts,23,GLOTIP
4368,DEU,Germany,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2019,Counts,22,GLOTIP
4372,DEU,Germany,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2020,Counts,7,GLOTIP
4374,DEU,Germany,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2020,Counts,6,GLOTIP
4375,DEU,Germany,Europe,Western Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2020,Counts,8,GLOTIP
4382,DNK,Denmark,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2017,Counts,8,GLOTIP
4388,DNK,Denmark,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2018,Counts,8,GLOTIP
4389,DNK,Denmark,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,9,GLOTIP
4395,DNK,Denmark,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2019,Counts,10,GLOTIP
4396,DNK,Denmark,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2019,Counts,8,GLOTIP
4403,DNK,Denmark,Europe,Northern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2020,Counts,10,GLOTIP
4427,DZA,Algeria,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2016,Counts,8,GLOTIP
4428,DZA,Algeria,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2016,Counts,7,GLOTIP
4429,DZA,Algeria,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2016,Counts,7,GLOTIP
4430,DZA,Algeria,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2016,Counts,10,GLOTIP
4431,ECU,Ecuador,Americas,Latin America and the Caribbean,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2014,Counts,5,GLOTIP
4457,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2014,Counts,6,GLOTIP
4459,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2014,Counts,76,GLOTIP
4461,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2015,Counts,11,GLOTIP
4463,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2015,Counts,45,GLOTIP
4465,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2016,Counts,8,GLOTIP
4467,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2016,Counts,27,GLOTIP
4468,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2017,Counts,21,GLOTIP
4470,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2017,Counts,19,GLOTIP
4472,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2018,Counts,27,GLOTIP
4474,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2018,Counts,52,GLOTIP
4475,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,27,GLOTIP
4476,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2021,Counts,8,GLOTIP
4477,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2021,Counts,6,GLOTIP
4478,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,0 to 17 years,2021,Counts,25,GLOTIP
4479,EGY,Egypt,Africa,Northern Africa,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2021,Counts,18,GLOTIP
4483,ESP,Spain,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2016,Counts,14,GLOTIP
4490,ESP,Spain,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,0 to 17 years,2018,Counts,5,GLOTIP
4491,ESP,Spain,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Female,18 years or over,2018,Counts,11,GLOTIP
4493,ESP,Spain,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Other forms of exploitation,Male,18 years or over,2018,Counts,10,GLOTIP
